llm_action,llm_product,llm_quantity
add,juice,20
add,onions,13
,,0
add,fries,6
add,mozzarella,13
add,bread,5
,,0
add,gelato,9
remove,lemonade,1
add,soda,4
remove,mushrooms,18
add,detergent,5
remove,milk,10
add,toothpaste,9
remove,garlic,1
add,packs of chicken,17
,,0
,,0
add,milk,20
remove,towels,18
remove,batteries,5
,,0
remove,broccoli,6
add,onions,14
remove,diapers,19
add,pepper,17
remove,gelato,10
add,conditioner,12
remove,oranges,17
remove,raspberries,18
remove,packs of granola,9
add,gelato,8
add,blueberries,18
add,yogurt,1
,,0
remove,apples,2
,,0
add,pizza,15
,,0
remove,bananas,5
add,wrap,13
remove,vegetables,14
add,packs of tissues,11
add,pizza,12
remove,cucumbers,18
remove,salmon,6
add,gelato,3
remove,batteries,20
remove,flour,17
add,wipes,3
add,salt,13
,,0
add,potatoes,8
remove,pepper,2
,,0
remove,fries,20
add,cheddar,11
add,paper,8
remove,vegetables,1
add,wipes,7
,,0
remove,eggs,5
,,0
add,tea,18
,,0
,,0
remove,pasta,2
remove,flour,9
,,0
add,bread,12
,,0
remove,raspberries,6
remove,pizza,20
add,oliveoil,9
,,0
add,spinach,9
remove,strawberries,18
remove,bread,17
remove,pasta,1
,,0
remove,gelato,8
,,0
,,0
remove,toothbrush,12
,,0
add,brownsugar,16
,,0
,,0
add,milk,1
add,paper,6
remove,bellpeppers,2
,,0
add,bread,18
remove,toothbrush,2
,,0
remove,oranges,3
,,0
add,diapers,7
remove,mushrooms,13
add,detergent,16
remove,lemonade,13
add,mango,11
remove,juice,2
,,0
remove,diapers,1
remove,bags,13
add,gelato,20
remove,juice,17
remove,tomatoes,13
remove,paper,18
remove,bananas,16
remove,gelato,2
,,0
,,0
,,0
,,0
add,diapers,1
,,0
add,juice,8
remove,tea,2
add,shampoo,3
add,toothbrush,12
,,0
remove,juice,7
,,0
remove,bulbs,3
remove,sugar,17
add,cereal,20
,,0
,,0
remove,shampoo,2
,,0
remove,soap,19
remove,soda,11
remove,towels,19
add,soap,17
remove,tuna,3
remove,coffee,12
remove,limes,11
remove,soap,4
,,0
remove,eggplant,8
add,pineapple,19
,,0
,,0
remove,shampoo,16
remove,oliveoil,13
add,chicken,13
remove,avocados,1
add,soda,20
remove,yogurt,10
remove,wrap,2
,,0
remove,cereal,18
add,wash,5
remove,mushrooms,7
add,soda,12
remove,packs of toothbrush,1
,,0
,,0
remove,cola,2
remove,blueberries,19
add,wash,10
,,0
remove,toothpaste,4
remove,wash,11
remove,spaghetti,13
add,cheddar,19
remove,coffee,16
remove,cheddar,14
,,0
remove,bulbs,14
remove,toothpaste,7
,,0
,,0
remove,blueberries,14
,,0
add,sugar,14
,,0
,,0
remove,chicken,2
remove,shampoo,1
,,0
add,mozzarella,12
,,0
,,0
add,eggs,14
,,0
,,0
,,0
add,raspberries,12
add,sugar,15
remove,kibble,16
add,bellpeppers,13
,,0
add,wipes,6
,,0
remove,soda,14
add,foil,1
,,0
add,packs of oatmeal,6
,,0
remove,tomatoes,9
remove,bellpeppers,10
add,sunfloweroil,3
,,0
,,0
add,yogurt,15
,,0
add,oatmeal,16
,,0
,,0
remove,spinach,14
,,0
,,0
,,0
,,0
,,0
,,0
,,0
remove,potatoes,19
remove,eggs,9
,,0
,,0
remove,toothpaste,9
,,0
add,paper,1
,,0
,,0
,,0
remove,blueberries,14
add,yogurt,2
add,litter,16
,,0
remove,potatoes,16
add,soap,16
,,0
remove,quinoa,2
,,0
remove,vegetables,2
add,towels,9
remove,potatoes,9
add,tea,8
,,0
add,soda,18
,,0
remove,bags,2
add,cola,6
,,0
,,0
,,0
,,0
remove,juice,14
,,0
,,0
remove,yogurt,17
remove,bananas,3
add,wrap,20
add,eggs,15
remove,sweetpotatoes,12
remove,kibble,14
,,0
,,0
add,cola,1
remove,pasta,10
add,packs of toothpaste,14
remove,watermelon,19
,,0
,,0
,,0
,,0
remove,soda,7
remove,bulbs,5
,,0
add,quinoa,19
remove,towels,1
,,0
,,0
add,gelato,9
,,0
remove,juice,2
,,0
add,apples,1
remove,chicken,3
remove,wipes,9
add,pizza,11
remove,pineapple,20
remove,bulbs,19
,,0
remove,chicken,8
add,flour,14
add,fries,9
add,mushrooms,19
remove,potatoes,18
,,0
remove,pineapple,2
,,0
remove,milk,20
add,batteries,4
,,0
remove,diapers,18
remove,juice,18
,,0
,,0
,,0
add,coffee,20
remove,rice,3
add,pasta,8
add,sweetpotatoes,14
add,treats,16
remove,gelato,7
,,0
add,butter,11
,,0
remove,lemons,20
add,soap,8
remove,salmon,5
remove,soap,12
,,0
remove,flour,3
remove,mushrooms,8
remove,packs of oranges,4
add,raspberries,19
add,treats,12
,,0
add,eggs,20
add,packs of salt,17
remove,tomatoes,19
,,0
remove,cheddar,14
remove,sunfloweroil,8
add,apples,2
,,0
add,toothbrush,19
add,diapers,2
add,bread,5
remove,juice,4
remove,detergent,16
add,oranges,4
,,0
remove,bags,12
add,eggplant,19
,,0
,,0
remove,pineapple,7
add,water,17
remove,oatmeal,1
remove,zucchini,3
,,0
remove,bananas,18
add,eggplant,9
add,packs of mango,20
remove,salt,10
remove,tomatoes,7
,,0
remove,lemonade,10
,,0
add,cereal,4
,,0
remove,wrap,15
remove,milk,7
add,juice,1
,,0
,,0
,,0
,,0
,,0
remove,raspberries,9
remove,eggs,5
add,garlic,16
remove,water,5
add,butter,4
,,0
remove,vegetables,3
remove,fries,3
,,0
remove,packs of bananas,5
,,0
remove,soap,7
add,potatoes,9
,,0
,,0
,,0
,,0
add,fries,1
,,0
remove,foil,9
add,beef,17
remove,milk,18
add,oranges,10
add,brownsugar,16
,,0
add,packs of kibble,5
remove,milk,16
remove,soap,10
remove,limes,14
add,soap,13
add,gelato,15
remove,sunfloweroil,20
remove,milk,2
,,0
add,potatoes,9
,,0
,,0
,,0
add,watermelon,20
,,0
,,0
add,sunfloweroil,17
,,0
,,0
,,0
,,0
add,tea,1
add,tissues,10
,,0
remove,detergent,20
remove,pasta,8
,,0
add,butter,7
,,0
remove,pepper,7
,,0
remove,soap,15
add,pineapple,2
remove,bellpeppers,10
add,tea,17
add,wrap,14
,,0
remove,apples,5
,,0
add,pasta,11
,,0
,,0
remove,juice,12
add,garlic,2
add,potatoes,1
remove,vegetables,11
remove,mango,12
remove,packs of coffee,11
add,bananas,2
add,lemons,3
add,tea,15
,,0
remove,juice,17
,,0
,,0
remove,cereal,13
,,0
add,juice,5
,,0
add,paper,5
,,0
remove,soap,8
,,0
remove,sweetpotatoes,6
add,avocados,9
remove,broccoli,14
add,fries,18
remove,soap,12
,,0
remove,bellpeppers,2
add,beef,7
,,0
remove,bananas,16
add,foil,17
add,juice,16
add,paper,15
add,bags,12
add,milk,15
remove,cucumbers,7
remove,diapers,8
add,bellpeppers,7
,,0
add,bellpeppers,2
add,conditioner,4
remove,strawberries,20
remove,yogurt,7
add,cereal,6
add,tissues,14
remove,shampoo,14
,,0
,,0
add,treats,16
,,0
,,0
add,diapers,17
remove,diapers,10
add,gelato,10
,,0
remove,oatmeal,4
remove,flour,4
add,paper,3
,,0
remove,chicken,14
remove,eggplant,18
remove,wipes,7
remove,soap,3
add,broccoli,11
add,cereal,2
,,0
add,tomatoes,12
add,cheddar,19
,,0
add,brownsugar,7
remove,yogurt,2
add,watermelon,9
remove,tissues,13
,,0
,,0
add,bags,12
add,rice,5
,,0
add,toothbrush,16
add,gelato,1
,,0
,,0
,,0
add,raspberries,3
add,shampoo,9
add,broccoli,11
add,wipes,20
add,eggplant,1
,,0
remove,packs of wipes,12
,,0
remove,juice,2
add,spinach,14
remove,shampoo,8
,,0
remove,kibble,19
remove,salmon,10
add,pepper,3
remove,towels,10
remove,conditioner,6
,,0
remove,toothpaste,1
remove,brownsugar,10
remove,tea,9
add,packs of bulbs,5
,,0
remove,wipes,10
,,0
add,cola,1
add,shampoo,8
remove,rice,16
remove,salmon,18
remove,juice,17
add,broccoli,5
remove,tuna,19
,,0
add,kibble,7
add,soap,3
,,0
remove,packs of soap,2
remove,cheddar,5
,,0
remove,gelato,17
,,0
add,towels,9
,,0
