llm_action,llm_product,llm_quantity
,,0
add,onions,13
,,0
add,fries,10
add,mozzarella,13
add,bread,5
remove,litter,17
,,0
,,0
remove,backpacks,2
,,0
add,detergent,2
,,0
,,0
,,0
add,packs of chicken,17
,,0
,,0
,,0
add,towels,18
remove,batteries,5
,,0
,,0
add,onions,14
,,0
add,pepper,17
,,0
,,0
,,0
,,0
remove,packs of granola,9
add,gelato,8
add,blueberries,18
add,yogurt,1
,,0
add,cans of soda,3
,,0
add,pizza,15
remove,treats,11
remove,bananas,5
,,0
,,0
add,packs of tissues,11
add,pizza,12
remove,cucumbers,18
,,0
add,gelato,2
,,0
,,0
remove,wipes,2
,,0
remove,towels,17
remove,potatoes,2
remove,pepper,2
,,0
,,0
,,0
add,paper,8
add,cans of soda,2
remove,wipes,2
add,milk,10
add,cans of soda,2
,,0
remove,tea,18
,,0
add,cans of soda,2
,,0
,,0
add,gelato,10
,,0
,,0
,,0
,,0
,,0
,,0
add,spinach,10
add,cans of soda,3
add,cans of soda,3
,,0
,,0
remove,gelato,8
,,0
,,0
add,cans of soda,3
,,0
add,brownsugar,16
,,0
add,oliveoil,17
add,milk,2
add,paper,6
add,cans of soda,3
remove,mango,20
,,0
,,0
,,0
,,0
remove,kibble,14
add,diapers,1
,,0
add,detergent,16
,,0
,,0
remove,juice,2
,,0
add,diapers,1
,,0
,,0
,,0
,,0
,,0
remove,bananas,16
,,0
,,0
remove,lemonade,6
add,tuna,9
,,0
,,0
add,kibble,15
remove,backpacks,2
add,tea,3
,,0
add,toothbrush,12
,,0
,,0
,,0
,,0
remove,sugar,17
,,0
add,water,19
,,0
,,0
remove,spaghetti,17
,,0
add,cans of soda,3
remove,towels,19
,,0
,,0
,,0
,,0
,,0
remove,mozzarella,13
,,0
add,pineapple,19
,,0
,,0
,,0
add,oliveoil,13
add,chicken,13
add,apples,2
,,0
add,yogurt,10
,,0
,,0
,,0
,,0
remove,mushrooms,7
add,soda,12
add,packs of toothbrush,2
,,0
remove,pizza,2
,,0
remove,blueberries,19
,,0
,,0
add,cans of soda,2
,,0
,,0
remove,cheddar,19
,,0
,,0
,,0
,,0
remove,toothpaste,7
,,0
remove,granola,2
remove,packs of blueberries,14
,,0
,,0
add,gelato,18
add,gelato,18
,,0
add,shampoo,2
,,0
add,mozzarella,12
remove,water,10
remove,cola,16
add,eggs,14
remove,garlic,15
add,zucchini,10
,,0
add,raspberries,12
,,0
,,0
add,bellpeppers,13
,,0
add,wipes,6
,,0
,,0
remove,foils,2
,,0
add,packs of oatmeal,2
,,0
add,cans of soda,2
remove,bellpeppers,10
,,0
,,0
add,apples,17
add,yogurt,15
,,0
remove,backpacks,2
,,0
,,0
,,0
,,0
,,0
remove,kibble,15
,,0
,,0
,,0
,,0
