User Input,llm_action,llm_product,llm_quantity,Parsing Status,Raw Response
Throw in 20 juice,add,juice,20,success,"{""action"": ""add"", ""product"": ""juice"", ""quantity"": 20}"
Put 13 onions in my cart,add,onions,13,success,"{""action"": ""add"", ""product"": ""onions"", ""quantity"": 13}"
Remove 4 beef,remove,beef,4,success,"{""action"": ""remove"", ""product"": ""beef"", ""quantity"": 4}"
Add 6 of fries,add,fries,6,success,"{""action"": ""add"", ""product"": ""fries"", ""quantity"": 6}"
I want 13 mozzarella,add,mozzarella,13,success,"{""action"": ""add"", ""product"": ""mozzarella"", ""quantity"": 13}"
Add 5 bread to my cart,add,bread,5,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 5}"
Remove 17 units of litter,remove,litter,17,success,"{""action"": ""remove"", ""product"": ""litter"", ""quantity"": 17}"
I need 9 gelato,add,gelato,9,success,"{""action"": ""add"", ""product"": ""gelato"", ""quantity"": 9}"
Drop 1 lemonade,remove,lemonade,1,success,"{""action"": ""remove"", ""product"": ""lemonade"", ""quantity"": 1}"
Put 4 soda in my cart,add,soda,4,success,"{""action"": ""add"", ""product"": ""soda"", ""quantity"": 4}"
I want to take out 18 mushrooms,remove,mushrooms,18,success,"{""action"": ""remove"", ""product"": ""mushrooms"", ""quantity"": 18}"
Add 5 of detergent,add,detergent,5,success,"{""action"": ""add"", ""product"": ""detergent"", ""quantity"": 5}"
Take away 10 more milk,remove,milk,10,success,"{""action"": ""remove"", ""product"": ""milk"", ""quantity"": 10}"
Add 9 more toothpaste,add,toothpaste,9,success,"{""action"": ""add"", ""product"": ""toothpaste"", ""quantity"": 9}"
Remove 1 of garlic,remove,garlic,1,success,"{""action"": ""remove"", ""product"": ""garlic"", ""quantity"": 1}"
Add 17 packs of chicken,Add,chicken,17,success,"{""action"": ""Add"", ""product"": ""chicken"", ""quantity"": 17}"
Take away 15 watermelon,remove,watermelon,15,success,"{""action"": ""remove"", ""product"": ""watermelon"", ""quantity"": 15}"
Remove 9 sunfloweroil,remove,sunfloweroil,9,success,"{
  ""action"": ""remove"",
  ""product"": ""sunfloweroil"",
  ""quantity"": 9
}"
Add 20 more milk,add,milk,20,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 20}"
Delete 18 towels,delete,towels,18,success,"{""action"": ""delete"", ""product"": ""towels"", ""quantity"": 18}"
Remove 5 units of batteries,remove,batteries,5,success,"{""action"": ""remove"", ""product"": ""batteries"", ""quantity"": 5}"
I don't need 15 mango,remove,mango,15,success,"{""action"": ""remove"", ""product"": ""mango"", ""quantity"": 15}"
Get rid of 6 broccoli,remove,broccoli,6,success,"{""action"": ""remove"", ""product"": ""broccoli"", ""quantity"": 6}"
Add 14 onions,add,onions,14,success,"{""action"": ""add"", ""product"": ""onions"", ""quantity"": 14}"
Take away 19 more diapers,remove,diapers,19,success,"{""action"": ""remove"", ""product"": ""diapers"", ""quantity"": 19}"
Add 17 units of pepper,add,pepper,17,success,"{""action"": ""add"", ""product"": ""pepper"", ""quantity"": 17}"
I'll take 10 gelato,take,gelato,10,success,"{
  ""action"": ""take"",
  ""product"": ""gelato"",
  ""quantity"": 10
}"
Throw in 12 conditioner,add,conditioner,12,success,"{""action"": ""add"", ""product"": ""conditioner"", ""quantity"": 12}"
I'll take 17 oranges,add,oranges,17,success,"{""action"": ""add"", ""product"": ""oranges"", ""quantity"": 17}"
Take away 18 more raspberries,remove,rasberries,18,success,"{""action"": ""remove"", ""product"": ""rasberries"", ""quantity"": 18}"
Remove 9 packs of granola,remove,granola,9,success,"{""action"": ""remove"", ""product"": ""granola"", ""quantity"": 9}"
Add 8 gelato to my cart,add,gelato,8,success,"{""action"": ""add"", ""product"": ""gelato"", ""quantity"": 8}"
Include 18 blueberries in my order,add,blueberries,18,success,"{""action"": ""add"", ""product"": ""blueberries"", ""quantity"": 18}"
Add 1 yogurt please,add,yogurt,1,success,"{""action"": ""add"", ""product"": ""yogurt"", ""quantity"": 1}"
Take out 19 butter,remove,butter,19,success,"{""action"": ""remove"", ""product"": ""butter"", ""quantity"": 19}"
Remove 2 apples please,remove,apples,2,success,"{""action"": ""remove"", ""product"": ""apples"", ""quantity"": 2}"
Need 8 milk,add,milk,8,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 8}"
Add 15 pizza,add,pizza,15,success,"{""action"": ""add"", ""product"": ""pizza"", ""quantity"": 15}"
Put in 11 treats,add,treats,11,success,"{
  ""action"": ""add"",
  ""product"": ""treats"",
  ""quantity"": 11
}"
Remove 5 bananas please,remove,bananas,5,success,"{""action"": ""remove"", ""product"": ""bananas"", ""quantity"": 5}"
Include 13 wrap,include,wrap,13,success,"{""action"": ""include"", ""product"": ""wrap"", ""quantity"": 13}"
I'll take 14 vegetables,add,vegetables,14,success,"{""action"": ""add"", ""product"": ""vegetables"", ""quantity"": 14}"
Add 11 packs of tissues,Add,tissues,11,success,"{""action"": ""Add"", ""product"": ""tissues"", ""quantity"": 11}"
Add 12 pizza for me,add,pizza,12,success,"{""action"": ""add"", ""product"": ""pizza"", ""quantity"": 12}"
Take out 18 cucumbers,remove,cucumbers,18,success,"{""action"": ""remove"", ""product"": ""cucumbers"", ""quantity"": 18}"
I want to remove 6 salmon,remove,salmon,6,success,"{""action"": ""remove"", ""product"": ""salmon"", ""quantity"": 6}"
Add 3 units of gelato,add,gelato,3,success,"{
  ""action"": ""add"",
  ""product"": ""gelato"",
  ""quantity"": 3
}"
Cancel 20 batteries,remove,batteries,20,success,"{""action"": ""remove"", ""product"": ""batteries"", ""quantity"": 20}"
Please take away 17 flour,remove,flour,17,success,"{""action"": ""remove"", ""product"": ""flour"", ""quantity"": 17}"
Put 3 wipes in my cart,add,wipes,3,success,"{""action"": ""add"", ""product"": ""wipes"", ""quantity"": 3}"
Add 13 more salt,add,salt,13,success,"{""action"": ""add"", ""product"": ""salt"", ""quantity"": 13}"
Put 17 towels in the shopping cart,add,towels,17,success,"{""action"": ""add"", ""product"": ""towels"", ""quantity"": 17}"
Put 8 potatoes in my cart,add,potatoes,8,success,"{""action"": ""add"", ""product"": ""potatoes"", ""quantity"": 8}"
I need to remove 2 pepper,remove,pepper,2,success,"{""action"": ""remove"", ""product"": ""pepper"", ""quantity"": 2}"
Could you remove 16 treats,remove,treats,16,success,"{""action"": ""remove"", ""product"": ""treats"", ""quantity"": 16}"
I need to remove 20 fries,remove,fries,20,success,"{""action"": ""remove"", ""product"": ""fries"", ""quantity"": 20}"
I want to add 11 cheddar,add,cheddar,11,success,"{""action"": ""add"", ""product"": ""cheddar"", ""quantity"": 11}"
I want 8 paper,add,paper,8,success,"{
  ""action"": ""add"",
  ""product"": ""paper"",
  ""quantity"": 8
}"
Remove 1 vegetables please,remove,vegetables,1,success,"{""action"": ""remove"", ""product"": ""vegetables"", ""quantity"": 1}"
Please add 7 wipes,add,wipes,7,success,"{""action"": ""add"", ""product"": ""wipes"", ""quantity"": 7}"
Add 10 of milk,add,milk,10,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 10}"
Delete 5 eggs from my cart,remove,eggs,5,success,"{""action"": ""remove"", ""product"": ""eggs"", ""quantity"": 5}"
Take away 2 more milk,remove,milk,2,success,"{""action"": ""remove"", ""product"": ""milk"", ""quantity"": 2}"
Put 18 tea in my cart,add,tea,18,success,"{""action"": ""add"", ""product"": ""tea"", ""quantity"": 18}"
Please grab 15 milk,add,milk,15,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 15}"
Take 7 tea out,remove,tea,7,success,"{""action"": ""remove"", ""product"": ""tea"", ""quantity"": 7}"
Please remove 2 pasta,remove,pasta,2,success,"{""action"": ""remove"", ""product"": ""pasta"", ""quantity"": 2}"
Take away 9 more flour,remove,flour,9,success,"{""action"": ""remove"", ""product"": ""flour"", ""quantity"": 9}"
Remove 10 gelato from my cart,remove,gelato,10,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 10}"
Could you add 12 bread,add,bread,12,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 12}"
Throw in 7 tea,add,tea,7,success,"{""action"": ""add"", ""product"": ""tea"", ""quantity"": 7}"
Get rid of 6 raspberries,remove,rasberries,6,success,"{""action"": ""remove"", ""product"": ""rasberries"", ""quantity"": 6}"
Could you remove 20 pizza,remove,pizza,20,success,"{""action"": ""remove"", ""product"": ""pizza"", ""quantity"": 20}"
I need 9 oliveoil added,add,oliveoil,9,success,"{""action"": ""add"", ""product"": ""oliveoil"", ""quantity"": 9}"
Remove 6 of foil,remove,foil,6,success,"{""action"": ""remove"", ""product"": ""foil"", ""quantity"": 6}"
Add 9 units of spinach,add,spinach,9,success,"{""action"": ""add"", ""product"": ""spinach"", ""quantity"": 9}"
Please delete 18 strawberries,delete,strawberries,18,success,"{""action"": ""delete"", ""product"": ""strawberries"", ""quantity"": 18}"
Please remove 17 bread,remove,bread,17,success,"{""action"": ""remove"", ""product"": ""bread"", ""quantity"": 17}"
Take away 1 pasta,remove,pasta,1,success,"{""action"": ""remove"", ""product"": ""pasta"", ""quantity"": 1}"
I want to take out 15 toothbrush,remove,toothbrush,15,success,"{""action"": ""remove"", ""product"": ""toothbrush"", ""quantity"": 15}"
Remove 8 units of gelato,remove,gelato,8,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 8}"
