llm_action,llm_product,llm_quantity
add,juice,20
add,onions,13
remove,beef,4
add,fries,6
add,mozzarella,13
add,bread,5
remove,litter,17
add,gelato,9
remove,lemonade,1
add,soda,4
remove,mushrooms,18
add,detergent,5
remove,milk,10
add,toothpaste,9
remove,garlic,1
add,packs of chicken,17
remove,watermelon,15
remove,sunfloweroil,9
add,milk,20
remove,towels,18
remove,batteries,5
remove,mango,15
remove,broccoli,6
add,onions,14
remove,diapers,19
add,pepper,17
add,gelato,10
add,conditioner,12
add,oranges,17
remove,raspberries,18
remove,packs of granola,9
add,gelato,8
add,blueberries,18
add,yogurt,1
remove,butter,19
remove,apples,2
add,milk,8
add,pizza,15
add,treats,11
remove,bananas,5
,,0
add,vegetables,14
add,packs of tissues,11
add,pizza,12
remove,cucumbers,18
remove,salmon,6
add,gelato,3
remove,batteries,20
remove,flour,17
add,wipes,3
add,salt,13
add,towels,17
add,potatoes,8
remove,pepper,2
remove,treats,16
remove,fries,20
add,cheddar,11
add,paper,8
remove,vegetables,1
add,wipes,7
add,milk,10
remove,eggs,5
remove,milk,2
add,tea,18
add,milk,15
remove,tea,7
remove,pasta,2
remove,flour,9
remove,gelato,10
add,bread,12
add,tea,7
remove,raspberries,6
remove,pizza,20
add,oliveoil,9
remove,foil,6
add,spinach,9
remove,strawberries,18
remove,bread,17
remove,pasta,1
remove,toothbrush,15
remove,gelato,8
add,yogurt,5
add,tuna,12
remove,toothbrush,12
remove,bread,9
add,brownsugar,16
remove,yogurt,6
add,oliveoil,17
add,milk,1
add,paper,6
remove,bellpeppers,2
remove,mango,20
add,bread,18
remove,toothbrush,2
remove,zucchini,5
remove,oranges,3
remove,kibble,14
add,diapers,7
remove,mushrooms,13
add,detergent,16
add,lemonade,13
add,mango,11
remove,juice,2
add,potatoes,15
remove,diapers,1
remove,bags,13
add,gelato,20
remove,juice,17
remove,tomatoes,13
remove,paper,18
remove,bananas,16
remove,gelato,2
add,juice,5
remove,lemonade,6
add,tuna,9
add,soap,14
add,diapers,1
add,kibble,15
add,juice,8
remove,tea,2
add,shampoo,3
add,toothbrush,12
remove,oliveoil,8
remove,juice,7
add,paper,14
remove,bulbs,3
remove,sugar,17
add,cereal,20
add,water,19
add,yogurt,17
remove,shampoo,2
add,spaghetti,17
remove,soap,19
remove,soda,11
remove,towels,19
add,soap,17
remove,tuna,3
remove,coffee,12
remove,limes,11
remove,soap,4
remove,mozzarella,13
remove,eggplant,8
add,pineapple,19
add,lemonade,9
add,strawberries,13
remove,shampoo,16
remove,oliveoil,13
add,chicken,13
remove,avocados,1
add,soda,20
remove,yogurt,10
remove,wrap,2
remove,bulbs,7
remove,cereal,18
add,wash,5
remove,mushrooms,7
add,soda,12
remove,packs of toothbrush,1
remove,quinoa,17
remove,pizza,2
remove,cola,2
remove,blueberries,19
add,wash,10
add,lemons,19
remove,toothpaste,4
remove,wash,11
remove,spaghetti,13
add,cheddar,19
remove,coffee,16
remove,cheddar,14
add,carrots,9
remove,bulbs,14
remove,toothpaste,7
add,treats,10
remove,granola,2
remove,packs of blueberries,14
add,diapers,4
add,sugar,14
remove,gelato,18
remove,gelato,18
remove,chicken,2
remove,shampoo,1
remove,milk,11
add,mozzarella,12
add,water,10
remove,cola,16
add,eggs,14
remove,garlic,15
add,zucchini,9
remove,bread,4
add,raspberries,12
add,sugar,15
remove,kibble,16
add,bellpeppers,13
add,pepper,16
add,wipes,6
add,cheddar,18
remove,soda,14
add,foil,1
add,toothpaste,14
add,packs of oatmeal,6
add,sweetpotatoes,3
remove,tomatoes,9
remove,bellpeppers,10
add,sunfloweroil,3
add,sweetpotatoes,11
remove,apples,17
add,yogurt,15
add,soda,1
add,oatmeal,16
remove,soda,18
remove,oatmeal,6
remove,spinach,14
remove,salmon,9
add,cheddar,19
remove,kibble,15
remove,avocados,16
add,batteries,15
remove,salt,15
add,toothbrush,15
remove,potatoes,19
remove,eggs,9
add,blueberries,14
add,raspberries,5
remove,toothpaste,9
add,pizza,14
add,paper,1
add,flour,9
remove,toothpaste,8
add,bread,8
remove,blueberries,14
add,yogurt,2
add,litter,16
add,apples,14
remove,potatoes,16
add,soap,16
add,cheddar,19
remove,quinoa,2
add,raspberries,11
remove,vegetables,2
add,towels,9
remove,potatoes,9
add,tea,8
remove,pepper,4
add,soda,18
remove,yogurt,13
remove,bags,2
add,cola,6
remove,soda,13
add,gelato,14
remove,cucumbers,16
add,bread,7
remove,juice,14
remove,tomatoes,5
remove,sugar,17
remove,yogurt,17
remove,bananas,3
add,wrap,20
add,eggs,15
remove,sweetpotatoes,12
remove,kibble,14
remove,watermelon,10
add,gelato,4
add,cola,1
remove,pasta,10
add,packs of toothpaste,14
remove,watermelon,19
remove,potatoes,4
add,toothbrush,13
remove,wash,3
add,avocados,16
remove,soda,7
add,bulbs,5
add,water,8
add,quinoa,19
remove,towels,1
add,litter,6
remove,gelato,14
add,gelato,9
remove,vegetables,6
remove,juice,2
remove,blueberries,12
add,apples,1
remove,chicken,3
remove,wipes,9
add,pizza,11
remove,pineapple,20
remove,bulbs,19
add,cola,10
remove,chicken,8
add,flour,14
add,fries,9
add,mushrooms,19
remove,potatoes,18
remove,avocados,9
remove,pineapple,2
remove,juice,4
remove,milk,20
add,batteries,4
remove,salt,10
remove,diapers,18
remove,juice,18
add,wrap,15
add,diapers,14
add,oliveoil,15
add,coffee,20
remove,rice,3
add,pasta,8
add,sweetpotatoes,14
add,treats,16
remove,gelato,7
remove,batteries,3
add,butter,11
add,gelato,20
remove,lemons,20
add,soap,8
remove,salmon,5
remove,soap,12
add,bread,15
remove,flour,3
remove,mushrooms,8
remove,packs of oranges,4
add,raspberries,19
add,treats,12
add,limes,13
add,eggs,20
add,packs of salt,17
remove,tomatoes,19
remove,packs of foil,15
remove,packs of cheddar,14
remove,sunfloweroil,8
add,apples,2
remove,tuna,6
add,toothbrush,19
add,diapers,2
add,bread,5
remove,juice,4
remove,detergent,16
add,oranges,4
remove,broccoli,11
remove,bags,12
add,eggplant,19
remove,limes,9
remove,chicken,19
remove,pineapple,7
add,water,17
remove,oatmeal,1
remove,zucchini,3
remove,water,6
remove,bananas,18
add,eggplant,9
add,packs of mango,20
remove,salt,10
remove,tomatoes,7
add,raspberries,10
remove,lemonade,10
add,wrap,7
add,cereal,4
add,yogurt,12
remove,wrap,15
remove,milk,7
add,juice,1
add,mango,14
add,fries,15
remove,potatoes,16
add,foil,8
remove,gelato,17
remove,raspberries,9
remove,eggs,5
add,garlic,16
remove,water,5
add,butter,4
remove,foil,19
remove,vegetables,3
remove,fries,3
remove,beef,17
remove,packs of bananas,5
add,brownsugar,4
remove,soap,7
add,potatoes,9
add,tea,6
add,cola,10
remove,cheddar,3
remove,salmon,19
add,fries,1
remove,tea,1
remove,foil,9
add,beef,17
remove,milk,18
add,oranges,10
add,brownsugar,16
remove,tea,4
add,packs of kibble,5
add,milk,16
remove,soap,10
remove,limes,14
add,soap,13
add,gelato,15
remove,sunfloweroil,20
remove,milk,2
add,tuna,20
add,potatoes,9
add,spaghetti,3
remove,water,8
remove,quinoa,12
add,watermelon,20
add,watermelon,6
add,pepper,14
add,sunfloweroil,17
remove,vegetables,19
remove,oliveoil,8
remove,mango,6
remove,broccoli,8
add,tea,1
add,wipes,1
add,pineapple,9
remove,detergent,20
remove,pasta,8
remove,raspberries,5
add,butter,7
add,apples,16
remove,pepper,7
add,pepper,9
remove,soap,15
add,pineapple,2
remove,bellpeppers,10
add,tea,17
add,wrap,14
add,beef,20
remove,apples,5
remove,litter,12
add,pasta,11
remove,strawberries,7
remove,cola,13
remove,juice,12
add,garlic,2
add,potatoes,1
remove,vegetables,11
remove,mango,12
remove,packs of coffee,11
add,bananas,2
add,lemons,3
add,tea,15
remove,gelato,20
remove,juice,17
remove,mozzarella,7
remove,mango,9
remove,cereal,13
remove,conditioner,5
add,juice,5
add,pasta,1
add,paper,5
remove,cheddar,20
remove,soap,8
remove,mango,19
remove,sweetpotatoes,6
add,avocados,9
remove,broccoli,14
add,fries,18
remove,soap,12
add,bulbs,8
remove,bellpeppers,2
