raw_response,llm_action,llm_product,llm_quantity
"{""action"":""add"",""product"":""juice"",""quantity"":20}",add,juice,20
"{""action"":""add"",""product"":""onions"",""quantity"":13}",add,onions,13
"{""action"":""remove"",""product"":""beef"",""quantity"":4}",remove,beef,4
"{""action"":""add"",""product"":""fries"",""quantity"":6}",add,fries,6
"{""action"":""add"",""product"":""mozzarella"",""quantity"":13}",add,mozzarella,13
"{""action"":""add"",""product"":""bread"",""quantity"":5}",add,bread,5
"{""action"":""remove"",""product"":""litter"",""quantity"":17}",remove,litter,17
"{""action"":""add"",""product"":""gelato"",""quantity"":9}",add,gelato,9
"{""action"":""remove"",""product"":""lemonade"",""quantity"":1}",remove,lemonade,1
"{""action"":""add"",""product"":""soda"",""quantity"":4}",add,soda,4
"{""action"":""remove"",""product"":""mushrooms"",""quantity"":18}",remove,mushrooms,18
"{""action"":""add"",""product"":""detergent"",""quantity"":5}",add,detergent,5
"{""action"":""remove"",""product"":""milk"",""quantity"":10}",remove,milk,10
"{""action"":""add"",""product"":""toothpaste"",""quantity"":10}",add,toothpaste,10
"{""action"":""remove"",""product"":""garlic"",""quantity"":1}",remove,garlic,1
"{""action"":""add"",""product"":""chicken"",""quantity"":17}",add,chicken,17
"{""action"":""remove"",""product"":""watermelon"",""quantity"":15}",remove,watermelon,15
"{""action"":""remove"",""product"":""sunfloweroil"",""quantity"":9}",remove,sunfloweroil,9
"{""action"":""add"",""product"":""milk"",""quantity"":21}",add,milk,21
"{""action"":""remove"",""product"":""towels"",""quantity"":18}",remove,towels,18
"{""action"":""remove"",""product"":""batteries"",""quantity"":5}",remove,batteries,5
"{""action"":""add"",""product"":""mango"",""quantity"":1}",add,mango,1
"{""action"":""remove"",""product"":""broccoli"",""quantity"":6}",remove,broccoli,6
"{""action"":""add"",""product"":""onions"",""quantity"":14}",add,onions,14
"{""action"":""remove"",""product"":""diapers"",""quantity"":19}",remove,diapers,19
"{""action"":""add"",""product"":""pepper"",""quantity"":17}",add,pepper,17
"{""action"":""add"",""product"":""gelato"",""quantity"":10}",add,gelato,10
"{""action"":""add"",""product"":""conditioner"",""quantity"":12}",add,conditioner,12
"{""action"":""add"",""product"":""oranges"",""quantity"":17}",add,oranges,17
"{""action"":""remove"",""product"":""raspberries"",""quantity"":18}",remove,raspberries,18
"{""action"":""remove"",""product"":""packs of granola"",""quantity"":9}",remove,packs of granola,9
"{""action"":""add"",""product"":""gelato"",""quantity"":8}",add,gelato,8
"{""action"":""add"",""product"":""blueberries"",""quantity"":18}",add,blueberries,18
"{""action"":""add"",""product"":""yogurt"",""quantity"":1}",add,yogurt,1
"{""action"":""remove"",""product"":""butter"",""quantity"":19}",remove,butter,19
"{""action"":""remove"",""product"":""apples"",""quantity"":2}",remove,apples,2
"{""action"":""add"",""product"":""milk"",""quantity"":8}",add,milk,8
"{""action"":""add"",""product"":""pizza"",""quantity"":15}",add,pizza,15
"{""action"":""add"",""product"":""treats"",""quantity"":11}",add,treats,11
"{""action"":""remove"",""product"":""bananas"",""quantity"":5}",remove,bananas,5
"{""action"":""add"",""product"":""wrap"",""quantity"":13}",add,wrap,13
